StockCode,Description
35645,"<ArrowStringArray>
[nan, 'VINTAGE BEAD PINK JEWEL BOX']
Length: 2, dtype: str"
35653,"<ArrowStringArray>
['VINTAGE BEAD NOTEBOOK', nan]
Length: 2, dtype: str"
35809B,"<ArrowStringArray>
[nan, 'ENAMEL BLUE RIM TEA CONTAINER']
Length: 2, dtype: str"
35810B,"<ArrowStringArray>
['ENAMEL BLUE RIM COFFEE CONTAINER', nan]
Length: 2, dtype: str"
35815P,"<ArrowStringArray>
['ACRYLIC JEWEL SNOWFLAKE, PINK', nan]
Length: 2, dtype: str"
35817P,"<ArrowStringArray>
['ACRYLIC JEWEL SNOWFLAKE,PINK', 'PINK ACRYLIC JEWEL SNOWFLAKE']
Length: 2, dtype: str"
35819B,"<ArrowStringArray>
['ACRYLIC HANGING JEWEL,BLUE', nan, 'CHECK']
Length: 3, dtype: str"
35819P,"<ArrowStringArray>
[nan, 'ACRYLIC HANGING JEWEL,PINK']
Length: 2, dtype: str"
35911A,"<ArrowStringArray>
['MULTICOLOUR RABBIT EGG WARMER', nan]
Length: 2, dtype: str"
35914,"<ArrowStringArray>
['PINK CHICK EGG WARMER + EGG CUP', nan]
Length: 2, dtype: str"
35915C,"<ArrowStringArray>
['PEACH KNITTED HEN', nan]
Length: 2, dtype: str"
35916B,"<ArrowStringArray>
['BLUE FELT HANGING HEART W FLOWER', 'BLUE FELT HANGING HEART WITH FLOWER']
Length: 2, dtype: str"
35933,"<ArrowStringArray>
['PINK STOCKING CHRISTMAS DECORATION', nan]
Length: 2, dtype: str"
35954,"<ArrowStringArray>
['SMALL FOLKART STAR CHRISTMAS DEC', 'CHECK']
Length: 2, dtype: str"
35957,"<ArrowStringArray>
['SMALLFOLKART BAUBLE CHRISTMAS DEC', nan]
Length: 2, dtype: str"
35958,"<ArrowStringArray>
['FOLKART ZINC STAR CHRISTMAS DEC', nan]
Length: 2, dtype: str"
35965,"<ArrowStringArray>
['FOLKART HEART NAPKIN RINGS', nan, 'FOUND', 'DOTCOM']
Length: 4, dtype: str"
35966,"<ArrowStringArray>
['FOLKART CHRISTMAS TREE T-LIGHT HOLD', nan]
Length: 2, dtype: str"
35968,"<ArrowStringArray>
['FOLK ART METAL HEART T-LIGHT HOLDER', 'FOUND', 'CHECK']
Length: 3, dtype: str"
37327,"<ArrowStringArray>
['ASSTD MULTICOLOUR CIRCLES MUG', nan, 'ADJUSTMENT']
Length: 3, dtype: str"
37342,"<ArrowStringArray>
['POLKADOT COFFEE CUP & SAUCER PINK', nan]
Length: 2, dtype: str"
37370,"<ArrowStringArray>
['RETRO COFFEE MUGS ASSORTED', nan]
Length: 2, dtype: str"
37413,"<ArrowStringArray>
[nan, 'ICON MUG REVOLUTIONARY']
Length: 2, dtype: str"
37444A,"<ArrowStringArray>
['YELLOW BREAKFAST CUP AND SAUCER', nan]
Length: 2, dtype: str"
37444B,"<ArrowStringArray>
['BLUE BREAKFAST CUP AND SAUCER', nan]
Length: 2, dtype: str"
37444C,"<ArrowStringArray>
['PINK BREAKFAST CUP AND SAUCER', nan]
Length: 2, dtype: str"
37461,"<ArrowStringArray>
[nan, 'FUNKY MONKEY MUG']
Length: 2, dtype: str"
37467,"<ArrowStringArray>
['PIG MUG IN TWO COLOUR DESIGNS', nan]
Length: 2, dtype: str"
37468,"<ArrowStringArray>
['HARDMAN MUG 3 ASSORTED', nan]
Length: 2, dtype: str"
37474,"<ArrowStringArray>
['SET/4 2 TONE EGG SHAPE MIXING BOWLS', nan]
Length: 2, dtype: str"
37479B,"<ArrowStringArray>
['CUBIC MUG FLOCK BLUE ON BROWN', nan]
Length: 2, dtype: str"
37489A,"<ArrowStringArray>
['YELLOW/PINK FLOWER DESIGN BIG MUG', nan]
Length: 2, dtype: str"
37501,"<ArrowStringArray>
['TEA TIME TEA SET IN GIFT BOX', nan]
Length: 2, dtype: str"
37509,"<ArrowStringArray>
[nan, 'NEW ENGLAND MUG W GIFT BOX']
Length: 2, dtype: str"
40046A,"<ArrowStringArray>
['RED DAISY PAPER LAMPSHADE', nan]
Length: 2, dtype: str"
44235,"<ArrowStringArray>
['ASS COL CIRCLE MOBILE', 'ASSORTED COLOURED CIRCLE MOBILE']
Length: 2, dtype: str"
44265,"<ArrowStringArray>
['M/COLOUR POM-POM CURTAIN', nan]
Length: 2, dtype: str"
46000U,"<ArrowStringArray>
['POLYESTER FILLER PAD 30CMX30CM', 'CHECK']
Length: 2, dtype: str"
46775D,"<ArrowStringArray>
['SUNSET COLOUR CHUNKY KNITTED THROW', nan]
Length: 2, dtype: str"
47013C,"<ArrowStringArray>
['WINE BOTTLE DRESSING DARK BLUE', nan]
Length: 2, dtype: str"
47021G,"<ArrowStringArray>
['SET/6 BEAD COASTERS GAUZE BAG GOLD', nan]
Length: 2, dtype: str"
47310M,"<ArrowStringArray>
['SMALL POP BOX,FUNKY MONKEY', 'SMALL POP BOX FUNKY MONKEY']
Length: 2, dtype: str"
47503A,"<ArrowStringArray>
['ASS FLORAL PRINT MULTI SCREWDRIVER', 'CHECK']
Length: 2, dtype: str"
47503H,"<ArrowStringArray>
['ASS FLORAL PRINT SPIRIT LEVEL', 'FOUND']
Length: 2, dtype: str"
47504K,"<ArrowStringArray>
['ENGLISH ROSE GARDEN SECATEURS', nan]
Length: 2, dtype: str"
47556B,"<ArrowStringArray>
['TEA TIME TEA TOWELS', 'DID  A CREDIT  AND DID NOT TICK RET']
Length: 2, dtype: str"
47566B,"<ArrowStringArray>
['TEA TIME PARTY BUNTING', 'INCORRECTLY CREDITED C550456 SEE 47']
Length: 2, dtype: str"
47570B,"<ArrowStringArray>
['TEA TIME TABLE CLOTH', nan]
Length: 2, dtype: str"
47589,"<ArrowStringArray>
['CONGRATULATIONS BUNTING', nan]
Length: 2, dtype: str"
47591B,"<ArrowStringArray>
['SCOTTIES CHILDRENS APRON', nan]
Length: 2, dtype: str"
47593A,"<ArrowStringArray>
['CAROUSEL PONIES BABY BIB', 'FOUND', nan]
Length: 3, dtype: str"
48116,"<ArrowStringArray>
['DOORMAT MULTICOLOUR STRIPE', nan]
Length: 2, dtype: str"
48189,"<ArrowStringArray>
['DOORMAT FRIENDSHIP', 'ADJUSTMENT']
Length: 2, dtype: str"
51020A,"<ArrowStringArray>
['SUMMER FUN DESIGN SHOWER CAP', 'ADJUSTMENT']
Length: 2, dtype: str"
62043B,"<ArrowStringArray>
[nan, 'BLUE CHECK BAG W HANDLE 34X20CM']
Length: 2, dtype: str"
71038,"<ArrowStringArray>
['WHITE HANGING BEADS CANDLE HOLDER', nan]
Length: 2, dtype: str"
71053,"<ArrowStringArray>
['WHITE METAL LANTERN', 'WHITE MOROCCAN METAL LANTERN']
Length: 2, dtype: str"
71143,"<ArrowStringArray>
['SILVER BOOK MARK WITH BEADS', 'ANTIQUE SILVER BOOK MARK WITH BEADS']
Length: 2, dtype: str"
71459,"<ArrowStringArray>
['HANGING JAM JAR T-LIGHT HOLDER', 'HANGING JAM JAR T-LIGHT HOLDERS']
Length: 2, dtype: str"
71477,"<ArrowStringArray>
['COLOUR GLASS. STAR T-LIGHT HOLDER', nan,
 'COLOURED GLASS STAR T-LIGHT HOLDER']
Length: 3, dtype: str"
72127,"<ArrowStringArray>
['COLUMBIAN CANDLE ROUND', 'FOUND BOX']
Length: 2, dtype: str"
72709,"<ArrowStringArray>
['IVORY SCULPTED RND CANDLE', nan]
Length: 2, dtype: str"
72800D,"<ArrowStringArray>
['4 BLUE DINNER CANDLES SILVER FLOCK', nan]
Length: 2, dtype: str"
72801G,"<ArrowStringArray>
['4 BURGUNDY WINE DINNER CANDLES', nan]
Length: 2, dtype: str"
72802A,"<ArrowStringArray>
['ROSE SCENT CANDLE IN JEWELLED BOX', 'HAD BEEN PUT ASIDE.']
Length: 2, dtype: str"
72802C,"<ArrowStringArray>
['VANILLA SCENT CANDLE JEWELLED BOX', nan]
Length: 2, dtype: str"
72803A,"<ArrowStringArray>
['ROSE SCENT CANDLE JEWELLED DRAWER', '?']
Length: 2, dtype: str"
72807A,"<ArrowStringArray>
['SET/3 ROSE CANDLE IN JEWELLED BOX', 'AMAZON']
Length: 2, dtype: str"
72817,"<ArrowStringArray>
['SET OF 2 CHRISTMAS DECOUPAGE CANDLE', 'DOTCOMSTOCK', nan]
Length: 3, dtype: str"
72818,"<ArrowStringArray>
['CHRISTMAS DECOUPAGE CANDLE', nan]
Length: 2, dtype: str"
75013B,"<ArrowStringArray>
['STRING OF 8 BUTTERFLIES,PINK', nan]
Length: 2, dtype: str"
77079,"<ArrowStringArray>
['DOLPHIN WINDMILL', nan]
Length: 2, dtype: str"
77101A,"<ArrowStringArray>
['UNION FLAG WINDSOCK', nan]
Length: 2, dtype: str"
79000,"<ArrowStringArray>
['MOROCCAN TEA GLASS', nan]
Length: 2, dtype: str"
79030D,"<ArrowStringArray>
['TUMBLER, BAROQUE', 'TUMBLER BAROQUE', nan]
Length: 3, dtype: str"
79030G,"<ArrowStringArray>
['TUMBLER, NEW ENGLAND', 'TUMBLER NEW ENGLAND']
Length: 2, dtype: str"
79051A,"<ArrowStringArray>
['SMOKEY GREY COLOUR D.O.F. GLASS', 'SMOKEY GREY COLOUR GLASS']
Length: 2, dtype: str"
79062D,"<ArrowStringArray>
[nan, 'RETRO TIN ASHTRAY,REVOLUTIONARY']
Length: 2, dtype: str"
79063C,"<ArrowStringArray>
[nan, 'RETRO PILL BOX KEY CHAIN,THE KING']
Length: 2, dtype: str"
79063D,"<ArrowStringArray>
[nan, 'RETRO PILL BOX , REVOLUTIONARY']
Length: 2, dtype: str"
79161A,"<ArrowStringArray>
[nan, 'ST GEORGE SET OF 10 PARTY LIGHTS']
Length: 2, dtype: str"
79163,"<ArrowStringArray>
['BLACK CHAMPAGNE GLASS', nan]
Length: 2, dtype: str"
79164,"<ArrowStringArray>
['BLACK WINE GLASS', nan]
Length: 2, dtype: str"
79302M,"<ArrowStringArray>
['ART LIGHTS,FUNK MONKEY', nan]
Length: 2, dtype: str"
79321,"<ArrowStringArray>
['CHILLI LIGHTS', nan]
Length: 2, dtype: str"
79336,"<ArrowStringArray>
[nan, 'LIGHT PINK FLOCK GLASS CANDLEHOLDER']
Length: 2, dtype: str"
79337,"<ArrowStringArray>
['BLUE FLOCK GLASS CANDLEHOLDER', nan]
Length: 2, dtype: str"
81950V,"<ArrowStringArray>
['FLOWER PURPLE CLOCK W/SUCKER', 'FLOWER PURPLE CLOCK WITH SUCKER']
Length: 2, dtype: str"
81952B,"<ArrowStringArray>
['ROUND BLUE CLOCK WITH SUCKER', nan]
Length: 2, dtype: str"
82001S,"<ArrowStringArray>
['VINYL RECORD FRAME SILVER', 'SILVER RECORD COVER FRAME']
Length: 2, dtype: str"
82001s,"<ArrowStringArray>
['VINYL RECORD FRAME SILVER', 'SILVER RECORD COVER FRAME']
Length: 2, dtype: str"
82483,"<ArrowStringArray>
['WOOD 2 DRAWER CABINET WHITE FINISH', nan]
Length: 2, dtype: str"
82486,"<ArrowStringArray>
['WOOD S/3 CABINET ANT WHITE FINISH', '3 DRAWER ANTIQUE WHITE WOOD CABINET']
Length: 2, dtype: str"
82494L,"<ArrowStringArray>
['WOODEN FRAME ANTIQUE WHITE', nan]
Length: 2, dtype: str"
82583,"<ArrowStringArray>
['HOT BATHS METAL SIGN', nan, 'FBA', 'AMAZON']
Length: 4, dtype: str"
82599,"<ArrowStringArray>
['FANNY'S REST STOPMETAL SIGN', nan]
Length: 2, dtype: str"
82600,"<ArrowStringArray>
['NO SINGING METAL SIGN', 'N0 SINGING METAL SIGN', 'CHECK']
Length: 3, dtype: str"
82605,"<ArrowStringArray>
['OLD DOC RUSSEL METAL SIGN', nan]
Length: 2, dtype: str"
82613A,"<ArrowStringArray>
['METAL SIGN,CUPCAKE SINGLE HOOK', 'AMAZON']
Length: 2, dtype: str"
84029E,"<ArrowStringArray>
['RED WOOLLY HOTTIE WHITE HEART.', nan]
Length: 2, dtype: str"
84029G,"<ArrowStringArray>
['KNITTED UNION FLAG HOT WATER BOTTLE', nan]
Length: 2, dtype: str"
84050,"<ArrowStringArray>
['PINK HEART SHAPE EGG FRYING PAN', 'CHECK']
Length: 2, dtype: str"
84227,"<ArrowStringArray>
['HEN HOUSE W CHICK IN NEST', nan]
Length: 2, dtype: str"
84228,"<ArrowStringArray>
['HEN HOUSE W CHICK STANDING', 'HEN HOUSE WITH CHICK STANDING']
Length: 2, dtype: str"
84247E,"<ArrowStringArray>
['PACK/12 XMAS FUN CARD', 'PACK OF 12 CHRISTMAS FUN CARDS', nan]
Length: 3, dtype: str"
84247K,"<ArrowStringArray>
['FOLK ART GREETING CARD,PACK/12', nan]
Length: 2, dtype: str"
84247L,"<ArrowStringArray>
['FAWN AND MUSHROOM GREETING CARD', nan]
Length: 2, dtype: str"
84270,"<ArrowStringArray>
['ASSTD DESIGN BUBBLE GUM RING', nan]
Length: 2, dtype: str"
84279B,"<ArrowStringArray>
[nan, 'CHERRY BLOSSOM DECORATIVE FLASK']
Length: 2, dtype: str"
84279P,"<ArrowStringArray>
['CHERRY BLOSSOM  DECORATIVE FLASK', 'FOUND']
Length: 2, dtype: str"
84306,"<ArrowStringArray>
[nan, 'S/3 PINK SQUARE PLANTERS ROSES']
Length: 2, dtype: str"
84313C,"<ArrowStringArray>
['ORANGE TV TRAY TABLE', nan]
Length: 2, dtype: str"
84387A,"<ArrowStringArray>
[nan, 'BIRD ON BRANCH CANVAS SCREEN']
Length: 2, dtype: str"
84388,"<ArrowStringArray>
['WISE MAN STAR SHAPE EGG PAN', nan]
Length: 2, dtype: str"
84402B,"<ArrowStringArray>
['PURPLE DRESS JEWELLERY STAND', nan]
Length: 2, dtype: str"
84452,"<ArrowStringArray>
[nan, 'METAL RABBIT LADDER EASTER']
Length: 2, dtype: str"
84459B,"<ArrowStringArray>
['YELLOW METAL CHICKEN HEART', nan]
Length: 2, dtype: str"
84497,"<ArrowStringArray>
['BUTTONS AND STRIPES NOTEBOOK', nan]
Length: 2, dtype: str"
84507B,"<ArrowStringArray>
['STRIPES DESIGN MONKEY DOLL', nan]
Length: 2, dtype: str"
84507C,"<ArrowStringArray>
['BLUE CIRCLES DESIGN MONKEY DOLL', 'ADJUSTMENT']
Length: 2, dtype: str"
84531A,"<ArrowStringArray>
['PINK KNITTED EGG COSY', 'RETURNED']
Length: 2, dtype: str"
84531B,"<ArrowStringArray>
['BLUE KNITTED EGG COSY', 'RETURNED']
Length: 2, dtype: str"
84534B,"<ArrowStringArray>
['FAIRY CAKE NOTEBOOK A5 SIZE', nan]
Length: 2, dtype: str"
84535A,"<ArrowStringArray>
[nan, 'ENGLISH ROSE NOTEBOOK A6 SIZE']
Length: 2, dtype: str"
84539,"<ArrowStringArray>
['KNITTED RABBIT DOLL', nan]
Length: 2, dtype: str"
84548,"<ArrowStringArray>
['CROCHET BEAR RED/BLUE  KEYRING', nan]
Length: 2, dtype: str"
84562A,"<ArrowStringArray>
['PINK/WHITE RIBBED MELAMINE JUG', nan]
Length: 2, dtype: str"
84595E,"<ArrowStringArray>
['LARGE TORTILLA DESIGN RED BOWL', nan]
Length: 2, dtype: str"
84596E,"<ArrowStringArray>
['SMALL LICORICE DES PINK BOWL', nan]
Length: 2, dtype: str"
84596G,"<ArrowStringArray>
['SMALL CHOCOLATES PINK BOWL', nan]
Length: 2, dtype: str"
84596J,"<ArrowStringArray>
['MIXED NUTS LIGHT GREEN BOWL', nan]
Length: 2, dtype: str"
84659A,"<ArrowStringArray>
['WHITE TRAVEL ALARM CLOCK', 'CHECK']
Length: 2, dtype: str"
84660A,"<ArrowStringArray>
['WHITE STITCHED WALL CLOCK', nan]
Length: 2, dtype: str"
84660C,"<ArrowStringArray>
['PINK STITCHED WALL CLOCK', nan]
Length: 2, dtype: str"
84663A,"<ArrowStringArray>
['GRASS HOPPER WOODEN WALL CLOCK', nan]
Length: 2, dtype: str"
84675,"<ArrowStringArray>
[nan, 'FROG KING WATERING CAN']
Length: 2, dtype: str"
84685,"<ArrowStringArray>
['BEACH HUT KEY CABINET', nan]
Length: 2, dtype: str"
84686,"<ArrowStringArray>
['BEACH HUT MIRROR', nan]
Length: 2, dtype: str"
84688,"<ArrowStringArray>
[nan, 'BEACH HUT DESIGN BLACKBOARD']
Length: 2, dtype: str"
84689,"<ArrowStringArray>
[nan, 'S/2 BEACH HUT TREASURE CHESTS']
Length: 2, dtype: str"
84691,"<ArrowStringArray>
['PACK 20 DOLLY PEGS', nan]
Length: 2, dtype: str"
84709B,"<ArrowStringArray>
['PINK OVAL JEWELLED MIRROR', nan]
Length: 2, dtype: str"
84741C,"<ArrowStringArray>
['CITRUS GARLAND FELT FLOWERS', nan]
Length: 2, dtype: str"
84746,"<ArrowStringArray>
[nan, 'PINK EASTER HENS+FLOWER']
Length: 2, dtype: str"
84760S,"<ArrowStringArray>
['SMALL HANGING GLASS+ZINC LANTERN', nan]
Length: 2, dtype: str"
84773,"<ArrowStringArray>
['RED ROSE AND LACE C/COVER', nan]
Length: 2, dtype: str"
84789,"<ArrowStringArray>
['ENCHANTED BIRD PLANT CAGE', nan]
Length: 2, dtype: str"
84795C,"<ArrowStringArray>
['OCEAN STRIPE HAMMOCK', nan]
Length: 2, dtype: str"
84796B,"<ArrowStringArray>
['BLUE SAVANNAH PICNIC HAMPER FOR 2', nan]
Length: 2, dtype: str"
84802A,"<ArrowStringArray>
[nan, 'WHITE ANEMONE ARTIFICIAL FLOWER']
Length: 2, dtype: str"
84823,"<ArrowStringArray>
['DANISH ROSE FOLDING CHAIR', nan]
Length: 2, dtype: str"
84828,"<ArrowStringArray>
['JUNGLE POPSICLES ICE LOLLY HOLDERS', 'JUNGLE POPSICLES ICE LOLLY MOULDS']
Length: 2, dtype: str"
84840,"<ArrowStringArray>
['SWEETHEART CARRY-ALL BASKET', nan]
Length: 2, dtype: str"
84847,"<ArrowStringArray>
['FLORAL BATHROOM SET', nan]
Length: 2, dtype: str"
84849D,"<ArrowStringArray>
['HOT BATHS SOAP HOLDER', nan]
Length: 2, dtype: str"
84857B,"<ArrowStringArray>
[nan, 'BLUE MONTE CARLO HANDBAG']
Length: 2, dtype: str"
84857C,"<ArrowStringArray>
['PINK MONTE CARLO HANDBAG', nan]
Length: 2, dtype: str"
84858C,"<ArrowStringArray>
['PINK RIVIERA HANDBAG', nan]
Length: 2, dtype: str"
84873A,"<ArrowStringArray>
[nan, 'FUNKY FLOWER PICNIC BAG FOR 4']
Length: 2, dtype: str"
84875D,"<ArrowStringArray>
['BLUE SQUARE COMPACT MIRROR', 'FOUND']
Length: 2, dtype: str"
84876B,"<ArrowStringArray>
['GREEN HEART COMPACT MIRROR', 'FOUND']
Length: 2, dtype: str"
84877D,"<ArrowStringArray>
['BLUE ROUND COMPACT MIRROR', 'FOUND']
Length: 2, dtype: str"
84906,"<ArrowStringArray>
['PINK B'FLY C/COVER W BOBBLES', nan, 'PINK BUTTERFLY CUSHION COVER']
Length: 3, dtype: str"
84912A,"<ArrowStringArray>
['PINK ROSE WASHBAG', nan]
Length: 2, dtype: str"
84917,"<ArrowStringArray>
['WHITE HAND TOWEL WITH BUTTERFLY', nan]
Length: 2, dtype: str"
84921,"<ArrowStringArray>
['CREAM AND PINK FLOWERS PONY', nan]
Length: 2, dtype: str"
84925F,"<ArrowStringArray>
['PSYCHEDELIC WALL THERMOMETER', nan]
Length: 2, dtype: str"
84929,"<ArrowStringArray>
['ASSTD FRUIT+FLOWERS FRIDGE MAGNETS', 'FOUND']
Length: 2, dtype: str"
84944,"<ArrowStringArray>
['SET OF 6 KASHMIR FOLKART BAUBLES', 'FOUND', nan, 'MICHEL OOPS']
Length: 4, dtype: str"
84946,"<ArrowStringArray>
['ANTIQUE SILVER TEA GLASS ETCHED', 'ANTIQUE SILVER T-LIGHT GLASS']
Length: 2, dtype: str"
84952C,"<ArrowStringArray>
[nan, 'MIRROR LOVE BIRD T-LIGHT HOLDER']
Length: 2, dtype: str"
84968B,"<ArrowStringArray>
['SET OF 16 VINTAGE IVORY CUTLERY', nan]
Length: 2, dtype: str"
84977,"<ArrowStringArray>
[nan, 'WIRE FLOWER T-LIGHT HOLDER']
Length: 2, dtype: str"
84988,"<ArrowStringArray>
['SET OF 72 PINK HEART PAPER DOILIES', '?']
Length: 2, dtype: str"
84989A,"<ArrowStringArray>
['75 GREEN FAIRY CAKE CASES', nan]
Length: 2, dtype: str"
84990,"<ArrowStringArray>
['60 GOLD AND SILVER FAIRY CAKE CASES', nan]
Length: 2, dtype: str"
84997A,"<ArrowStringArray>
['GREEN 3 PIECE POLKADOT CUTLERY SET', 'CHILDRENS CUTLERY POLKADOT GREEN']
Length: 2, dtype: str"
84997B,"<ArrowStringArray>
['RED 3 PIECE RETROSPOT CUTLERY SET', 'CHILDRENS CUTLERY RETROSPOT RED']
Length: 2, dtype: str"
84997C,"<ArrowStringArray>
['BLUE 3 PIECE POLKADOT CUTLERY SET', 'CHILDRENS CUTLERY POLKADOT BLUE']
Length: 2, dtype: str"
84997D,"<ArrowStringArray>
['PINK 3 PIECE POLKADOT CUTLERY SET', 'CHILDRENS CUTLERY POLKADOT PINK']
Length: 2, dtype: str"
84997a,"<ArrowStringArray>
['GREEN 3 PIECE POLKADOT CUTLERY SET', 'CHILDRENS CUTLERY POLKADOT GREEN']
Length: 2, dtype: str"
84997b,"<ArrowStringArray>
['RED 3 PIECE RETROSPOT CUTLERY SET', 'CHILDRENS CUTLERY RETROSPOT RED']
Length: 2, dtype: str"
84997c,"<ArrowStringArray>
['BLUE 3 PIECE POLKADOT CUTLERY SET', 'CHILDRENS CUTLERY POLKADOT BLUE']
Length: 2, dtype: str"
84997d,"<ArrowStringArray>
['PINK 3 PIECE POLKADOT CUTLERY SET', 'CHILDRENS CUTLERY POLKADOT PINK']
Length: 2, dtype: str"
85008,"<ArrowStringArray>
['SET OF 3 CONEY ISLAND OVAL BOXES', nan]
Length: 2, dtype: str"
85016,"<ArrowStringArray>
['SET OF 6 VINTAGE NOTELETS KIT', nan]
Length: 2, dtype: str"
85017B,"<ArrowStringArray>
['ENVELOPE 50 BLOSSOM IMAGES', nan]
Length: 2, dtype: str"
85017C,"<ArrowStringArray>
['ENVELOPE 50 CURIOUS IMAGES', 'FOUND', 'ADJUSTMENT']
Length: 3, dtype: str"
85019B,"<ArrowStringArray>
['BLOSSOM  IMAGES NOTEBOOK SET', 'CHECK']
Length: 2, dtype: str"
85025C,"<ArrowStringArray>
['PINK HEART SHAPE PHOTO FRAME', nan]
Length: 2, dtype: str"
85027L,"<ArrowStringArray>
['FRENCH CHATEAU LARGE PLATTER', nan]
Length: 2, dtype: str"
85028L,"<ArrowStringArray>
[nan, 'FRENCH CHATEAU LARGE FRUIT BOWL']
Length: 2, dtype: str"
85028S,"<ArrowStringArray>
[nan, 'FRENCH CHATEAU SMALL FRUITBOWL']
Length: 2, dtype: str"
85032D,"<ArrowStringArray>
['YULETIDE IMAGES GIFT WRAP SET', nan]
Length: 2, dtype: str"
85034A,"<ArrowStringArray>
['3 GARDENIA MORRIS BOXED CANDLES', 'CHECK']
Length: 2, dtype: str"
85045,"<ArrowStringArray>
['GREEN CHRISTMAS TREE STRING 20LIGHT', nan]
Length: 2, dtype: str"
85049B,"<ArrowStringArray>
['LUSH GREENS RIBBONS', nan, 'AMAZON']
Length: 3, dtype: str"
85049D,"<ArrowStringArray>
['BRIGHT BLUES RIBBONS', nan]
Length: 2, dtype: str"
85054,"<ArrowStringArray>
['FRENCH ENAMEL POT W LID', 'FOUND']
Length: 2, dtype: str"
85084,"<ArrowStringArray>
['HOLLY TOP CHRISTMAS STOCKING', nan]
Length: 2, dtype: str"
85086A,"<ArrowStringArray>
['CANDY SPOT HEART DECORATION', nan]
Length: 2, dtype: str"
85096,"<ArrowStringArray>
['HILDA CANDY SPOT RABBIT', nan]
Length: 2, dtype: str"
85099F,"<ArrowStringArray>
['JUMBO BAG STRAWBERRY', nan]
Length: 2, dtype: str"
85106,"<ArrowStringArray>
['CUT GLASS HEXAGON T-LIGHT HOLDER', nan]
Length: 2, dtype: str"
85107,"<ArrowStringArray>
['CUT GLASS T-LIGHT HOLDER OCTAGON', nan, 'CHECK?']
Length: 3, dtype: str"
85123A,"<ArrowStringArray>
['WHITE HANGING HEART T-LIGHT HOLDER', '?',
 'CREAM HANGING HEART T-LIGHT HOLDER']
Length: 3, dtype: str"
85125,"<ArrowStringArray>
['SMALL ROUND CUT GLASS CANDLESTICK', nan]
Length: 2, dtype: str"
85127,"<ArrowStringArray>
['SMALL SQUARE CUT GLASS CANDLESTICK', 'FOUND']
Length: 2, dtype: str"
85135A,"<ArrowStringArray>
['YELLOW DRAGONFLY HELICOPTER', nan]
Length: 2, dtype: str"
85135B,"<ArrowStringArray>
['BLUE DRAGONFLY HELICOPTER', 'FOUND', 'CHECK', nan]
Length: 4, dtype: str"
85135C,"<ArrowStringArray>
['RED DRAGONFLY HELICOPTER', 'FOUND']
Length: 2, dtype: str"
85141,"<ArrowStringArray>
['JARDIN ETCHED GLASS FRUITBOWL', nan]
Length: 2, dtype: str"
85144,"<ArrowStringArray>
['JARDIN ETCHED GLASS BUTTER DISH', 'JARDIN ETCHED GLASS CHEESE DISH']
Length: 2, dtype: str"
85145,"<ArrowStringArray>
['JARDIN ETCHED GLASS LARGE BELL JAR', nan]
Length: 2, dtype: str"
85146,"<ArrowStringArray>
['JARDIN ETCHED GLASS SMALL BELL JAR', nan]
Length: 2, dtype: str"
85150,"<ArrowStringArray>
['LADIES & GENTLEMEN METAL SIGN', nan]
Length: 2, dtype: str"
85152,"<ArrowStringArray>
['HAND OVER THE CHOCOLATE   SIGN', nan]
Length: 2, dtype: str"
85170A,"<ArrowStringArray>
['SET/6 IVORY BIRD T-LIGHT CANDLES', nan]
Length: 2, dtype: str"
85175,"<ArrowStringArray>
['CACTI T-LIGHT CANDLES', nan]
Length: 2, dtype: str"
85184C,"<ArrowStringArray>
['S/4 VALENTINE DECOUPAGE HEART BOX', 'SET 4 VALENTINE DECOUPAGE HEART BOX']
Length: 2, dtype: str"
85185B,"<ArrowStringArray>
['PINK HORSE SOCK PUPPET', nan, 'FOUND IN W/HSE',
 'PINK HORSE SOCK PUPPET KIT']
Length: 4, dtype: str"
85185D,"<ArrowStringArray>
['FROG SOCK PUPPET', nan]
Length: 2, dtype: str"
85197,"<ArrowStringArray>
['SET OF 12 MINI BUNNIES IN A BUCKET', nan]
Length: 2, dtype: str"
85200,"<ArrowStringArray>
['BUNNY EGG BOX', nan]
Length: 2, dtype: str"
85206A,"<ArrowStringArray>
['CREAM FELT EASTER EGG BASKET', nan]
Length: 2, dtype: str"
85211,"<ArrowStringArray>
['S/4 GROOVY CAT MAGNETS', nan]
Length: 2, dtype: str"
85213,"<ArrowStringArray>
['MINI  ZINC GARDEN DECORATIONS', nan]
Length: 2, dtype: str"
85214,"<ArrowStringArray>
['TUB 24 PINK FLOWER PEGS', nan]
Length: 2, dtype: str"
85215,"<ArrowStringArray>
['ASSORTED CHEESE FRIDGE MAGNETS', nan]
Length: 2, dtype: str"
85231G,"<ArrowStringArray>
['ORANGE SCENTED SET/9 T-LIGHTS', 'AMAZON']
Length: 2, dtype: str"
85232B,"<ArrowStringArray>
['SET OF 3 BABUSHKA STACKING TINS', nan]
Length: 2, dtype: str"
85232D,"<ArrowStringArray>
['SET/3 DECOUPAGE STACKING TINS', nan]
Length: 2, dtype: str"
90002D,"<ArrowStringArray>
['FLOWER BURST SILVER RING CRYSTAL', nan]
Length: 2, dtype: str"
90005A,"<ArrowStringArray>
['JADE GREEN ENAMEL HAIR COMB', nan]
Length: 2, dtype: str"
90010A,"<ArrowStringArray>
['MIDNIGHT BLUE GLASS/SILVER BRACELET', nan]
Length: 2, dtype: str"
